[INFO] Fri May 21 06:16:23 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 06:20:51 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 06:40:00 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 06:46:29 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 06:47:43 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 06:48:26 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 06:57:38 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:02:00 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:07:08 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:12:03 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:12:39 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:17:22 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:22:23 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:23:14 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:26:58 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:28:29 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:29:09 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:31:26 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:32:23 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:33:07 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:35:57 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:36:51 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:38:15 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:38:54 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:40:45 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:46:31 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:50:13 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:55:57 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 07:57:41 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:00:55 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:11:57 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:14:48 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:16:02 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:16:52 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:20:04 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:21:20 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:25:36 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:26:46 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:28:55 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:30:24 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:34:39 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:37:26 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:39:11 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:41:43 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:43:58 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:45:00 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:47:51 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:51:48 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:53:19 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:57:21 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:58:23 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 08:59:18 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 09:02:09 EDT 2021 :: New login instance, User: test
[INFO] Fri May 21 09:03:22 EDT 2021 :: New login instance, User: test
